rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
3,12,18,1.5,0.0,aligned,td_pc,8,7,1,18,0.546525
3,12,18,1.5,0.0,aligned,mvpc,8,7,1,18,0.546525
3,12,18,1.5,0.0,aligned,fci,8,7,1,18,0.546525
3,12,18,1.5,0.0,aligned,cdnod_true,8,7,1,18,0.546525
3,12,18,1.5,0.0,aligned,cdnod_est,8,7,1,18,0.546525
3,12,18,1.5,0.0,closed,td_pc,8,7,1,18,0.546525
3,12,18,1.5,0.0,closed,mvpc,8,7,1,18,0.546525
3,12,18,1.5,0.0,closed,fci,8,7,1,18,0.546525
3,12,18,1.5,0.0,closed,cdnod_true,8,7,1,18,0.546525
3,12,18,1.5,0.0,closed,cdnod_est,8,7,1,18,0.546525
3,12,18,1.5,1.0,aligned,td_pc,8,5,3,18,0.546525
3,12,18,1.5,1.0,aligned,mvpc,8,5,3,18,0.546525
3,12,18,1.5,1.0,aligned,fci,8,5,3,18,0.546525
3,12,18,1.5,1.0,aligned,cdnod_true,8,5,3,18,0.546525
3,12,18,1.5,1.0,aligned,cdnod_est,8,5,3,18,0.546525
3,12,18,1.5,1.0,closed,td_pc,8,5,3,18,0.546525
3,12,18,1.5,1.0,closed,mvpc,8,5,3,18,0.546525
3,12,18,1.5,1.0,closed,fci,8,5,3,18,0.546525
3,12,18,1.5,1.0,closed,cdnod_true,8,5,3,18,0.546525
3,12,18,1.5,1.0,closed,cdnod_est,8,5,3,18,0.546525
3,12,18,1.5,2.0,aligned,td_pc,6,7,-1,18,0.546525
3,12,18,1.5,2.0,aligned,mvpc,6,7,-1,18,0.546525
3,12,18,1.5,2.0,aligned,fci,6,7,-1,18,0.546525
3,12,18,1.5,2.0,aligned,cdnod_true,6,7,-1,18,0.546525
3,12,18,1.5,2.0,aligned,cdnod_est,6,7,-1,18,0.546525
3,12,18,1.5,2.0,closed,td_pc,8,7,1,18,0.546525
3,12,18,1.5,2.0,closed,mvpc,8,7,1,18,0.546525
3,12,18,1.5,2.0,closed,fci,9,7,2,18,0.546525
3,12,18,1.5,2.0,closed,cdnod_true,8,7,1,18,0.546525
3,12,18,1.5,2.0,closed,cdnod_est,8,7,1,18,0.546525
