rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
6,20,30,1.5,0.0,aligned,td_pc,4,4,0,30,0.5561375
6,20,30,1.5,0.0,aligned,mvpc,4,4,0,30,0.5561375
6,20,30,1.5,0.0,aligned,fci,4,4,0,30,0.5561375
6,20,30,1.5,0.0,aligned,cdnod_true,4,4,0,30,0.5561375
6,20,30,1.5,0.0,aligned,cdnod_est,4,4,0,30,0.5561375
6,20,30,1.5,0.0,closed,td_pc,4,4,0,30,0.5561375
6,20,30,1.5,0.0,closed,mvpc,4,4,0,30,0.5561375
6,20,30,1.5,0.0,closed,fci,4,4,0,30,0.5561375
6,20,30,1.5,0.0,closed,cdnod_true,4,4,0,30,0.5561375
6,20,30,1.5,0.0,closed,cdnod_est,4,4,0,30,0.5561375
6,20,30,1.5,1.0,aligned,td_pc,4,4,0,30,0.5561375
6,20,30,1.5,1.0,aligned,mvpc,4,4,0,30,0.5561375
6,20,30,1.5,1.0,aligned,fci,4,4,0,30,0.5561375
6,20,30,1.5,1.0,aligned,cdnod_true,4,4,0,30,0.5561375
6,20,30,1.5,1.0,aligned,cdnod_est,4,4,0,30,0.5561375
6,20,30,1.5,1.0,closed,td_pc,4,4,0,30,0.5561375
6,20,30,1.5,1.0,closed,mvpc,4,4,0,30,0.5561375
6,20,30,1.5,1.0,closed,fci,5,4,1,30,0.5561375
6,20,30,1.5,1.0,closed,cdnod_true,4,4,0,30,0.5561375
6,20,30,1.5,1.0,closed,cdnod_est,4,4,0,30,0.5561375
6,20,30,1.5,2.0,aligned,td_pc,5,4,1,30,0.5561375
6,20,30,1.5,2.0,aligned,mvpc,5,4,1,30,0.5561375
6,20,30,1.5,2.0,aligned,fci,5,4,1,30,0.5561375
6,20,30,1.5,2.0,aligned,cdnod_true,5,4,1,30,0.5561375
6,20,30,1.5,2.0,aligned,cdnod_est,5,4,1,30,0.5561375
6,20,30,1.5,2.0,closed,td_pc,4,4,0,30,0.5561375
6,20,30,1.5,2.0,closed,mvpc,4,4,0,30,0.5561375
6,20,30,1.5,2.0,closed,fci,4,4,0,30,0.5561375
6,20,30,1.5,2.0,closed,cdnod_true,4,4,0,30,0.5561375
6,20,30,1.5,2.0,closed,cdnod_est,4,4,0,30,0.5561375
