rep,p,edges,density,gamma,alignment,arm,shd,shd_complete,excess,n_true_edges,miss_rate
2,20,30,1.5,0.0,aligned,td_pc,11,7,4,30,0.552375
2,20,30,1.5,0.0,aligned,mvpc,11,7,4,30,0.552375
2,20,30,1.5,0.0,aligned,fci,11,7,4,30,0.552375
2,20,30,1.5,0.0,aligned,cdnod_true,11,7,4,30,0.552375
2,20,30,1.5,0.0,aligned,cdnod_est,11,7,4,30,0.552375
2,20,30,1.5,0.0,closed,td_pc,9,7,2,30,0.552375
2,20,30,1.5,0.0,closed,mvpc,9,7,2,30,0.552375
2,20,30,1.5,0.0,closed,fci,9,7,2,30,0.552375
2,20,30,1.5,0.0,closed,cdnod_true,9,7,2,30,0.552375
2,20,30,1.5,0.0,closed,cdnod_est,9,7,2,30,0.552375
2,20,30,1.5,1.0,aligned,td_pc,11,7,4,30,0.552375
2,20,30,1.5,1.0,aligned,mvpc,11,7,4,30,0.552375
2,20,30,1.5,1.0,aligned,fci,11,7,4,30,0.552375
2,20,30,1.5,1.0,aligned,cdnod_true,11,7,4,30,0.552375
2,20,30,1.5,1.0,aligned,cdnod_est,11,7,4,30,0.552375
2,20,30,1.5,1.0,closed,td_pc,11,7,4,30,0.552375
2,20,30,1.5,1.0,closed,mvpc,11,7,4,30,0.552375
2,20,30,1.5,1.0,closed,fci,11,7,4,30,0.552375
2,20,30,1.5,1.0,closed,cdnod_true,11,7,4,30,0.552375
2,20,30,1.5,1.0,closed,cdnod_est,11,7,4,30,0.552375
2,20,30,1.5,2.0,aligned,td_pc,12,11,1,30,0.552375
2,20,30,1.5,2.0,aligned,mvpc,12,11,1,30,0.552375
2,20,30,1.5,2.0,aligned,fci,12,11,1,30,0.552375
2,20,30,1.5,2.0,aligned,cdnod_true,12,11,1,30,0.552375
2,20,30,1.5,2.0,aligned,cdnod_est,12,11,1,30,0.552375
2,20,30,1.5,2.0,closed,td_pc,10,11,-1,30,0.552375
2,20,30,1.5,2.0,closed,mvpc,10,11,-1,30,0.552375
2,20,30,1.5,2.0,closed,fci,9,11,-2,30,0.552375
2,20,30,1.5,2.0,closed,cdnod_true,10,11,-1,30,0.552375
2,20,30,1.5,2.0,closed,cdnod_est,10,11,-1,30,0.552375
